id_linha,circular,letreiro_numerico,sentido,tipo_letreiro,terminal_principal,terminal_secundario
2477,False,1701,1,22,METRÔ TUCURUVI,JOVA RURAL
35245,False,1701,2,22,METRÔ TUCURUVI,JOVA RURAL
2599,True,1701,1,23,METRÔ SANTANA,JOVA RURAL
35367,True,1701,2,23,METRÔ SANTANA,JOVA RURAL
846,False,1702,1,10,TIETÊ,JOVA RURAL
33614,False,1702,2,10,TIETÊ,JOVA RURAL
847,False,1703,1,10,SHOP. CENTER NORTE,JD. FONTÁLIS
33615,False,1703,2,10,SHOP. CENTER NORTE,JD. FONTÁLIS
849,False,1705,1,10,METRÔ TUCURUVI,JD. SÃO JOÃO
33617,False,1705,2,10,METRÔ TUCURUVI,JD. SÃO JOÃO
2514,False,1705,1,51,METRÔ TUCURUVI,CEM. PQ. DA CANTAREIRA
35282,False,1705,2,51,METRÔ TUCURUVI,CEM. PQ. DA CANTAREIRA
851,False,1709,1,10,METRÔ TUCURUVI,JD. JOANA D'ARC
33619,False,1709,2,10,METRÔ TUCURUVI,JD. JOANA D'ARC
1967,False,1709,1,21,METRÔ TUCURUVI,JD. JOAMAR
34735,False,1709,2,21,METRÔ TUCURUVI,JD. JOAMAR
863,False,1720,1,10,CANTAREIRA,JD. GUANCÃ
33631,False,1720,2,10,CANTAREIRA,JD. GUANCÃ
1937,True,1720,1,21,METRÔ TUCURUVI,VILA SABRINA
34705,True,1720,2,21,METRÔ TUCURUVI,VILA SABRINA
666,True,1721,1,10,METRÔ CARANDIRU,VL. SABRINA
33434,True,1721,2,10,METRÔ CARANDIRU,VL. SABRINA
864,False,1722,1,10,METRÔ TUCURUVI,JD. MARINA
33632,False,1722,2,10,METRÔ TUCURUVI,JD. MARINA
1403,False,1726,1,10,METRÔ SANTANA,CEM. PQ. DOS PINHEIROS
34171,False,1726,2,10,METRÔ SANTANA,CEM. PQ. DOS PINHEIROS
856,False,172J,1,10,TATUAPÉ,JD. BRASIL
33624,False,172J,2,10,TATUAPÉ,JD. BRASIL
857,False,172K,1,10,METRÔ TATUAPÉ,JD. TREMEMBÉ
33625,False,172K,2,10,METRÔ TATUAPÉ,JD. TREMEMBÉ
664,False,172N,1,10,METRÔ BELÉM,SHOP. CENTER NORTE
33432,False,172N,2,10,METRÔ BELÉM,SHOP. CENTER NORTE
858,False,172P,1,10,METRÔ BELÉM,VL. ZILDA
33626,False,172P,2,10,METRÔ BELÉM,VL. ZILDA
859,False,172R,1,10,METRÔ BELÉM,JAÇANÃ
33627,False,172R,2,10,METRÔ BELÉM,JAÇANÃ
860,False,172U,1,10,MOOCA,CEM. PQ. DOS PINHEIROS
33628,False,172U,2,10,MOOCA,CEM. PQ. DOS PINHEIROS
861,False,172X,1,10,METRÔ TATUAPÉ,PQ. NOVO MUNDO
33629,False,172X,2,10,METRÔ TATUAPÉ,PQ. NOVO MUNDO
862,False,172Y,1,10,METRÔ BELÉM,VL. CONSTANÇA
33630,False,172Y,2,10,METRÔ BELÉM,VL. CONSTANÇA
865,False,1730,1,10,METRÔ SANTANA,CENTER NORTE
33633,False,1730,2,10,METRÔ SANTANA,CENTER NORTE
671,False,1732,1,10,TERM. AMARAL GURGEL,VL. SABRINA
33439,False,1732,2,10,TERM. AMARAL GURGEL,VL. SABRINA
672,False,1738,1,10,METRÔ SANTANA,VL. CONSTANÇA
33440,False,1738,2,10,METRÔ SANTANA,VL. CONSTANÇA
539,False,1741,1,10,METRÔ SANTANA,VL. DIONISIA
33307,False,1741,2,10,METRÔ SANTANA,VL. DIONISIA
542,False,1742,1,10,METRÔ SANTANA,JD. ANTÁRTICA
33310,False,1742,2,10,METRÔ SANTANA,JD. ANTÁRTICA
543,False,1743,1,10,SHOP. D,JD. PERY ALTO
33311,False,1743,2,10,SHOP. D,JD. PERY ALTO
544,False,1744,1,10,METRÔ SANTANA,LAUZANE PAULISTA
33312,False,1744,2,10,METRÔ SANTANA,LAUZANE PAULISTA
546,False,1745,1,10,SHOP. CENTER NORTE,VL.NOVA CACHOEIRINHA
33314,False,1745,2,10,SHOP. CENTER NORTE,VL.NOVA CACHOEIRINHA
673,False,174M,1,10,MUSEU DO IPIRANGA,VL. SABRINA
33441,False,174M,2,10,MUSEU DO IPIRANGA,VL. SABRINA
547,False,1756,1,10,METRÔ SANTANA,PEDRA BRANCA
33315,False,1756,2,10,METRÔ SANTANA,PEDRA BRANCA
548,True,1757,1,10,METRÔ SANTANA ,CONJ. DOS BANCÁRIOS
33316,True,1757,2,10,METRÔ SANTANA ,CONJ. DOS BANCÁRIOS
552,False,1758,1,10,METRÔ SANTANA,JD. ANTÁRTICA
33320,False,1758,2,10,METRÔ SANTANA,JD. ANTÁRTICA
553,False,1759,1,10,METRÔ SANTANA,JD. PERY
33321,False,1759,2,10,METRÔ SANTANA,JD. PERY
675,False,175P,1,10,ANA ROSA,METRÔ SANTANA
33443,False,175P,2,10,ANA ROSA,METRÔ SANTANA
623,False,175T,1,10,METRÔ JABAQUARA,METRÔ SANTANA
33391,False,175T,2,10,METRÔ JABAQUARA,METRÔ SANTANA
557,False,1760,1,10,SHOP. CENTER NORTE,COHAB ANTÁRTICA
33325,False,1760,2,10,SHOP. CENTER NORTE,COHAB ANTÁRTICA
625,False,1764,1,10,METRÔ SANTANA,JD. CORISCO
33393,False,1764,2,10,METRÔ SANTANA,JD. CORISCO
1782,False,1765,1,10,METRÔ TUCURUVI,JD. CABUÇU
34550,False,1765,2,10,METRÔ TUCURUVI,JD. CABUÇU
628,False,1767,1,10,METRÔ TUCURUVI,PQ. EDU CHAVES
33396,False,1767,2,10,METRÔ TUCURUVI,PQ. EDU CHAVES
634,False,1771,1,10,METRÔ SANTANA,JD. FONTÁLIS
33402,False,1771,2,10,METRÔ SANTANA,JD. FONTÁLIS
635,False,1772,1,10,METRÔ TUCURUVI,JD. FILHOS DA TERRA
33403,False,1772,2,10,METRÔ TUCURUVI,JD. FILHOS DA TERRA
637,False,1773,1,10,MANDAQUI,CEM. PQ. DOS PINHEIROS
33405,False,1773,2,10,MANDAQUI,CEM. PQ. DOS PINHEIROS
638,False,1775,1,10,SHOP. CENTER NORTE,VL. ALBERTINA
33406,False,1775,2,10,SHOP. CENTER NORTE,VL. ALBERTINA
1789,True,1778,1,10,METRÔ SANTANA,JD. CABUÇU
34557,True,1778,2,10,METRÔ SANTANA,JD. CABUÇU
630,False,177H,1,10,CID. UNIVERSITÁRIA,METRÔ SANTANA
33398,False,177H,2,10,CID. UNIVERSITÁRIA,METRÔ SANTANA
631,False,177H,1,21,PINHEIROS,METRÔ SANTANA
33399,False,177H,2,21,PINHEIROS,METRÔ SANTANA
867,False,177Y,1,10,PINHEIROS,METRÔ BARRA FUNDA
33635,False,177Y,2,10,PINHEIROS,METRÔ BARRA FUNDA
869,False,1780,1,10,METRÔ PARADA INGLESA,JD. HEBRON
33637,False,1780,2,10,METRÔ PARADA INGLESA,JD. HEBRON
643,True,1782,1,10,METRÔ SANTANA,VL. NOVA GALVÃO
33411,True,1782,2,10,METRÔ SANTANA,VL. NOVA GALVÃO
644,False,1783,1,10,METRÔ SANTANA,CACHOEIRA
33412,False,1783,2,10,METRÔ SANTANA,CACHOEIRA
2046,False,1783,1,22,METRÔ SANTANA,JD. LABITARY
34814,False,1783,2,22,METRÔ SANTANA,JD. LABITARY
1816,False,1785,1,10,METRÔ SANTANA,VL. AURORA
34584,False,1785,2,10,METRÔ SANTANA,VL. AURORA
649,False,1786,1,10,METRÔ SANTANA,VL. ALBERTINA
33417,False,1786,2,10,METRÔ SANTANA,VL. ALBERTINA
650,False,1787,1,10,METRÔ SANTANA,VL. MARIETA
33418,False,1787,2,10,METRÔ SANTANA,VL. MARIETA
653,False,1788,1,10,METRÔ SANTANA,JD. FONTÁLIS
33421,False,1788,2,10,METRÔ SANTANA,JD. FONTÁLIS
2617,False,1788,1,31,METRÔ SANTANA,JD. FONTALIS
