id_x,timestamp_coleta_x,id_onibus,letreiro_linha,latitude,longitude,timestamp_posicao,id_y,timestamp_coleta_y,id_linha,id_parada,horario_previsao
367791,2025-08-15 09:01:02.828951,63086,5178-10,-23.5535275,-46.6356375,2025-08-15T12:00:25Z,,,,,
367792,2025-08-15 09:01:02.828951,63201,5178-10,-23.684044,-46.633611,2025-08-15T12:00:23Z,,,,,
367793,2025-08-15 09:01:02.828951,15001,1026-10,-23.488557999999998,-46.697984500000004,2025-08-15T12:00:53Z,,,,,
367794,2025-08-15 09:01:02.828951,52069,519M-10,-23.604115,-46.524492,2025-08-15T12:00:58Z,,,,,
367795,2025-08-15 09:01:02.828951,52065,519M-10,-23.6125525,-46.483047,2025-08-15T12:00:43Z,,,,,
367796,2025-08-15 09:01:02.828951,52028,519M-10,-23.5847285,-46.611627500000004,2025-08-15T12:00:50Z,,,,,
367797,2025-08-15 09:01:02.828951,36543,407T-10,-23.536631625,-46.454534125,2025-08-15T12:00:31Z,,,,,
367798,2025-08-15 09:01:02.828951,36325,407T-10,-23.538669499999997,-46.4415705,2025-08-15T12:00:55Z,,,,,
367799,2025-08-15 09:01:02.828951,36153,407T-10,-23.5425195,-46.471514,2025-08-15T12:00:56Z,,,,,
367800,2025-08-15 09:01:02.828951,55083,3112-10,-23.587762,-46.54388925,2025-08-15T12:00:55Z,,,,,
367801,2025-08-15 09:01:02.828951,55480,3112-10,-23.584286,-46.5815445,2025-08-15T12:00:25Z,,,,,
367802,2025-08-15 09:01:02.828951,55483,3112-10,-23.5701045,-46.587504,2025-08-15T12:00:30Z,,,,,
367803,2025-08-15 09:01:02.828951,55476,3112-10,-23.599205249999997,-46.53805525,2025-08-15T12:00:57Z,,,,,
367804,2025-08-15 09:01:02.828951,55329,3112-10,-23.5831595,-46.548972000000006,2025-08-15T12:00:27Z,,,,,
367805,2025-08-15 09:01:02.828951,55280,3112-10,-23.610685500000002,-46.529895,2025-08-15T12:00:48Z,,,,,
367806,2025-08-15 09:01:02.828951,11712,8055-51,-23.4870635,-46.767631625,2025-08-15T12:00:41Z,,,,,
367807,2025-08-15 09:01:02.828951,11703,8055-51,-23.408811,-46.7500855,2025-08-15T12:00:52Z,,,,,
367808,2025-08-15 09:01:02.828951,48273,4003-10,-23.5733545,-46.398966,2025-08-15T12:01:00Z,,,,,
367809,2025-08-15 09:01:02.828951,48561,4003-10,-23.5742745,-46.3983295,2025-08-15T12:00:25Z,,,,,
367810,2025-08-15 09:01:02.828951,48243,4003-10,-23.543399,-46.425323500000005,2025-08-15T12:00:39Z,,,,,
367811,2025-08-15 09:01:02.828951,48566,4003-10,-23.5349085,-46.45375,2025-08-15T12:00:43Z,,,,,
367812,2025-08-15 09:01:02.828951,36204,2005-10,-23.486133000000002,-46.3892635,2025-08-15T12:00:32Z,,,,,
367813,2025-08-15 09:01:02.828951,36210,2005-10,-23.48567975,-46.38748475,2025-08-15T12:01:01Z,,,,,
367814,2025-08-15 09:01:02.828951,36017,2005-10,-23.490944499999998,-46.445358,2025-08-15T12:00:27Z,,,,,
367815,2025-08-15 09:01:02.828951,80155,778J-41,-23.572361,-46.704207,2025-08-15T12:00:51Z,,,,,
367816,2025-08-15 09:01:02.828951,80363,778J-41,-23.586996499999998,-46.801807999999994,2025-08-15T12:00:23Z,,,,,
367817,2025-08-15 09:01:02.828951,80151,778J-41,-23.526390499999998,-46.667538500000006,2025-08-15T12:00:38Z,,,,,
367818,2025-08-15 09:01:02.828951,80094,6232-10,-23.5451925,-46.6669455,2025-08-15T12:00:24Z,,,,,
367819,2025-08-15 09:01:02.828951,51144,4732-31,-23.650773,-46.5979315,2025-08-15T12:00:53Z,,,,,
367820,2025-08-15 09:01:02.828951,51436,4732-31,-23.6476485,-46.600239,2025-08-15T12:00:51Z,,,,,
367821,2025-08-15 09:01:02.828951,51070,4732-31,-23.637962,-46.595342,2025-08-15T12:00:48Z,,,,,
367822,2025-08-15 09:01:02.828951,51301,4732-31,-23.650711,-46.596127,2025-08-15T12:00:31Z,,,,,
367823,2025-08-15 09:01:02.828951,52816,5109-10,-23.58287925,-46.599747125,2025-08-15T12:00:46Z,,,,,
367824,2025-08-15 09:01:02.828951,52811,5109-10,-23.585085499999998,-46.582558500000005,2025-08-15T12:00:46Z,,,,,
367825,2025-08-15 09:01:02.828951,22513,971T-10,-23.484477,-46.6532745,2025-08-15T12:00:23Z,,,,,
367826,2025-08-15 09:01:02.828951,22941,971T-10,-23.5033405,-46.6345435,2025-08-15T12:00:40Z,,,,,
367827,2025-08-15 09:01:02.828951,22656,971T-10,-23.4883555,-46.651771499999995,2025-08-15T12:00:35Z,,,,,
367828,2025-08-15 09:01:02.828951,22671,971T-10,-23.493325,-46.6734225,2025-08-15T12:00:58Z,,,,,
367829,2025-08-15 09:01:02.828951,66690,6063-43,-23.8149625,-46.669669,2025-08-15T12:00:20Z,,,,,
367830,2025-08-15 09:01:02.828951,32303,273N-10,-23.498736875000002,-46.42183175,2025-08-15T12:00:17Z,,,,,
367831,2025-08-15 09:01:02.828951,32103,273N-10,-23.517326,-46.4798985,2025-08-15T12:00:22Z,,,,,
367832,2025-08-15 09:01:02.828951,32412,273N-10,-23.5142675,-46.519064,2025-08-15T12:00:57Z,,,,,
367833,2025-08-15 09:01:02.828951,32119,273N-10,-23.515909750000002,-46.46708712499999,2025-08-15T12:00:45Z,,,,,
367834,2025-08-15 09:01:02.828951,26371,1738-10,-23.474033,-46.581053499999996,2025-08-15T12:00:42Z,,,,,
367835,2025-08-15 09:01:02.828951,66651,6051-31,-23.762769875000004,-46.699893625,2025-08-15T12:00:39Z,,,,,
367836,2025-08-15 09:01:02.828951,16181,9785-10,-23.484181,-46.687559,2025-08-15T12:00:39Z,,,,,
367837,2025-08-15 09:01:02.828951,16469,9785-10,-23.467734999999998,-46.697888000000006,2025-08-15T12:00:51Z,,,,,
367838,2025-08-15 09:01:02.828951,16685,9785-10,-23.5049275,-46.689317,2025-08-15T12:00:42Z,,,,,
367839,2025-08-15 09:01:02.828951,16341,9785-10,-23.4561785,-46.698985,2025-08-15T12:00:37Z,,,,,
367840,2025-08-15 09:01:02.828951,73634,637R-10,-23.7013485,-46.7818795,2025-08-15T12:01:00Z,,,,,
367841,2025-08-15 09:01:02.828951,73613,637R-10,-23.7207345,-46.77011,2025-08-15T12:01:00Z,,,,,
367842,2025-08-15 09:01:02.828951,51095,4725-10,-23.603901125,-46.657901375,2025-08-15T12:00:55Z,,,,,
367843,2025-08-15 09:01:02.828951,51086,4725-10,-23.62204275,-46.6204095,2025-08-15T12:00:50Z,,,,,
367844,2025-08-15 09:01:02.828951,81612,8610-10,-23.6031905,-46.781071999999995,2025-08-15T12:00:41Z,,,,,
367845,2025-08-15 09:01:02.828951,81256,8610-10,-23.599347,-46.791118,2025-08-15T12:00:19Z,,,,,
367846,2025-08-15 09:01:02.828951,81422,8610-10,-23.58515225,-46.788189,2025-08-15T12:01:00Z,,,,,
367847,2025-08-15 09:01:02.828951,81267,8610-10,-23.5803305,-46.682945000000004,2025-08-15T12:00:21Z,,,,,
367848,2025-08-15 09:01:02.828951,55111,514T-10,-23.601830749999998,-46.50229025,2025-08-15T12:00:26Z,,,,,
367849,2025-08-15 09:01:02.828951,55437,514T-10,-23.583802875000003,-46.602026249999994,2025-08-15T12:00:31Z,,,,,
367850,2025-08-15 09:01:02.828951,55079,514T-10,-23.59702175,-46.609708624999996,2025-08-15T12:00:19Z,,,,,
367851,2025-08-15 09:01:02.828951,55039,514T-10,-23.58297475,-46.5681515,2025-08-15T12:00:58Z,,,,,
367852,2025-08-15 09:01:02.828951,55471,514T-10,-23.5796,-46.602875,2025-08-15T12:00:38Z,,,,,
367853,2025-08-15 09:01:02.828951,21267,178T-10,-23.51937175,-46.708470750000004,2025-08-15T12:00:20Z,,,,,
367854,2025-08-15 09:01:02.828951,21032,178T-10,-23.5245695,-46.7370535,2025-08-15T12:00:50Z,,,,,
367855,2025-08-15 09:01:02.828951,21301,178T-10,-23.51415575,-46.70176875,2025-08-15T12:00:48Z,,,,,
367856,2025-08-15 09:01:02.828951,21260,178T-10,-23.504084499999998,-46.68583700000001,2025-08-15T12:00:28Z,,,,,
