id,timestamp_analise,id_onibus,letreiro_linha,posicao_atual_lat,posicao_atual_lon,horario_posicao,proximo_ponto_previsto,horario_previsto_chegada
3192534,"2025-09-30 01:57:04.235357",11888,917H-10,-23.5259655,-46.7409135,2025-08-15T15:13:08Z,70016782.0,00:22
3192535,"2025-09-30 01:57:04.235357",11892,917H-10,-23.536587,-46.7093645,2025-08-15T15:13:18Z,440016921.0,06:12
3192537,"2025-09-30 01:57:04.235357",11895,917H-10,-23.4841385,-46.74288,2025-08-15T15:13:33Z,440016921.0,00:00
3192538,"2025-09-30 01:57:04.235357",11890,917H-10,-23.4858895,-46.7396305,2025-08-15T15:13:41Z,70016782.0,00:11
3192888,"2025-09-30 01:57:04.235357",11910,917H-10,-23.48608,-46.7258125,2025-08-15T15:13:24Z,440016921.0,08:21
3192890,"2025-09-30 01:57:04.235357",11823,917H-10,-23.5892145,-46.634663,2025-08-15T15:13:18Z,70016916.0,08:20
3192891,"2025-09-30 01:57:04.235357",11905,917H-10,-23.5110545,-46.753946,2025-08-15T15:13:16Z,70016782.0,09:03
3192892,"2025-09-30 01:57:04.235357",11899,917H-10,-23.571849,-46.64370825,2025-08-15T15:13:39Z,260016732.0,08:20
3192893,"2025-09-30 01:57:04.235357",11904,917H-10,-23.532647,-46.735911,2025-08-15T15:13:01Z,440016921.0,08:37
3192894,"2025-09-30 01:57:04.235357",11883,917H-10,-23.4947405,-46.748141,2025-08-15T15:13:29Z,70016834.0,00:03
3192895,"2025-09-30 01:57:04.235357",11907,917H-10,-23.49721675,-46.74698175,2025-08-15T15:13:27Z,70016782.0,09:12
3192896,"2025-09-30 01:57:04.235357",11901,917H-10,-23.547102,-46.68977,2025-08-15T15:13:28Z,440016921.0,21:57
3192897,"2025-09-30 01:57:04.235357",11903,917H-10,-23.5402555,-46.7181975,2025-08-15T15:13:39Z,440016921.0,01:04
3192898,"2025-09-30 01:57:04.235357",11456,917H-10,-23.4868015,-46.726492,2025-08-15T15:13:16Z,440016921.0,01:54
3192899,"2025-09-30 01:57:04.235357",11887,917H-10,-23.486222,-46.725945,2025-08-15T15:13:32Z,440016921.0,08:39
3198022,"2025-09-30 01:57:04.235357",31201,4310-10,-23.547027,-46.630752,2025-08-15T15:43:21Z,80014580.0,00:00
3198023,"2025-09-30 01:57:04.235357",31155,4310-10,-23.5348025,-46.4532225,2025-08-15T15:43:37Z,930012483.0,00:01
3198024,"2025-09-30 01:57:04.235357",31154,4310-10,-23.52810075,-46.512878,2025-08-15T15:43:15Z,820012014.0,04:32
3198025,"2025-09-30 01:57:04.235357",31099,4310-10,-23.5356065,-46.4940285,2025-08-15T15:43:35Z,540014585.0,20:19
3198026,"2025-09-30 01:57:04.235357",31181,4310-10,-23.528603,-46.505767,2025-08-15T15:43:27Z,820012014.0,22:36
3198027,"2025-09-30 01:57:04.235357",31184,4310-10,-23.5394305,-46.5719365,2025-08-15T15:40:48Z,930012483.0,00:00
3198028,"2025-09-30 01:57:04.235357",31112,4310-10,-23.5348025,-46.4532225,2025-08-15T15:43:23Z,80014579.0,18:53
3198030,"2025-09-30 01:57:04.235357",31117,4310-10,-23.5348025,-46.4532225,2025-08-15T15:43:20Z,820012014.0,18:23
3198031,"2025-09-30 01:57:04.235357",31144,4310-10,-23.538897,-46.4573225,2025-08-15T15:43:02Z,540014575.0,18:54
3198032,"2025-09-30 01:57:04.235357",31157,4310-10,-23.532191,-46.528237,2025-08-15T15:43:31Z,820012014.0,07:02
3198033,"2025-09-30 01:57:04.235357",31357,4310-10,-23.535216,-46.4541105,2025-08-15T15:43:07Z,820012014.0,05:09
3198141,"2025-09-30 01:57:04.235357",31287,4313-10,-23.58138925,-46.410665625,2025-08-15T15:43:40Z,820012014.0,00:27
3198142,"2025-09-30 01:57:04.235357",31591,4313-10,-23.5921575,-46.417601875,2025-08-15T15:43:09Z,820012014.0,06:12
3198143,"2025-09-30 01:57:04.235357",31236,4313-10,-23.5833045,-46.407338,2025-08-15T15:43:27Z,820012014.0,00:41
3198144,"2025-09-30 01:57:04.235357",31277,4313-10,-23.582475,-46.4073165,2025-08-15T15:43:13Z,820012014.0,19:00
3198145,"2025-09-30 01:57:04.235357",31594,4313-10,-23.5422045,-46.58206375,2025-08-15T15:38:56Z,540014575.0,00:07
3198146,"2025-09-30 01:57:04.235357",31254,4313-10,-23.596577,-46.4563185,2025-08-15T15:43:28Z,820012014.0,06:30
3198147,"2025-09-30 01:57:04.235357",31301,4313-10,-23.5824165,-46.407865,2025-08-15T15:43:26Z,820012486.0,00:53
3198148,"2025-09-30 01:57:04.235357",31264,4313-10,-23.545488,-46.631078,2025-08-15T15:43:36Z,80014580.0,08:19
3198149,"2025-09-30 01:57:04.235357",31256,4313-10,-23.5832455,-46.407549,2025-08-15T15:43:32Z,200012487.0,21:47
3198150,"2025-09-30 01:57:04.235357",31241,4313-10,-23.547545,-46.629699,2025-08-15T15:43:44Z,820012014.0,23:27
3198151,"2025-09-30 01:57:04.235357",31595,4313-10,-23.5409075,-46.5389695,2025-08-15T15:43:37Z,820012014.0,07:51
3198152,"2025-09-30 01:57:04.235357",31025,4313-10,-23.567922,-46.505093,2025-08-15T15:43:39Z,820012014.0,00:10
3198546,"2025-09-30 01:57:04.235357",31027,4313-10,-23.594003,-46.421439,2025-08-15T15:43:24Z,820012014.0,07:08
3198547,"2025-09-30 01:57:04.235357",31096,4313-10,-23.54770925,-46.601538875,2025-08-15T15:43:31Z,200012485.0,08:44
3198548,"2025-09-30 01:57:04.235357",31286,4313-10,-23.55057975,-46.52368125,2025-08-15T15:43:34Z,80014597.0,00:00
3198549,"2025-09-30 01:57:04.235357",31245,4313-10,-23.539127625,-46.5451825,2025-08-15T15:43:37Z,820012014.0,09:34
3198550,"2025-09-30 01:57:04.235357",31255,4313-10,-23.583026,-46.408417,2025-08-15T15:43:41Z,1010076.0,00:00
3198551,"2025-09-30 01:57:04.235357",31258,4313-10,-23.573918,-46.504014,2025-08-15T15:43:15Z,200012487.0,00:05
3198552,"2025-09-30 01:57:04.235357",31266,4313-10,-23.583026,-46.408417,2025-08-15T15:43:41Z,540014587.0,06:10
